LAT,LON,DEP,MAG,EPI-DIS,HYP-DIS,CORD-N,CORD-E,PGA,datetime
42.984,13.022,9.2,1.9,4.1546,10.6259,-3.354,-2.452,0.000328,18-01-2017 07:02
42.986,13.022,9.5,2.6,3.995,10.8428,-3.188,-2.407,0.001269,18-01-2017 07:08
42.984,13.026,10.1,1.4,3.9278,11.3794,-3.329,-2.084,9.8e-05,18-01-2017 07:52
42.982,13.147,9.8,1.9,8.6127,13.4879,-3.786,7.736,0.000211,18-01-2017 08:11
42.989,13.04,9.0,1.5,3.0171,10.0439,-2.867,-0.939,0.000153,18-01-2017 08:36
42.987,13.023,9.6,1.8,3.7999,10.8661,-2.99,-2.345,0.000256,18-01-2017 08:36
42.988,13.022,10.1,1.7,3.7881,11.3319,-2.91,-2.425,0.000192,18-01-2017 08:50
42.545,13.277,10.0,5.1,55.351,56.3531,-52.563,17.344,0.003754,18-01-2017 09:25
42.638,13.314,14.8,3.2,47.0713,49.5202,-42.33,20.587,0.000138,18-01-2017 09:30
42.583,13.267,9.0,2.6,51.1336,52.0233,-48.35,16.642,3.1e-05,18-01-2017 09:31
42.598,13.291,11.0,1.9,50.2531,51.57,-46.679,18.613,5e-06,18-01-2017 09:33
42.568,13.282,11.1,2.5,53.0762,54.3461,-49.985,17.848,2.1e-05,18-01-2017 09:34
42.587,13.27,11.3,2.3,50.8017,52.1723,-47.921,16.864,1.5e-05,18-01-2017 09:37
42.591,13.279,10.8,2.4,50.6492,51.9119,-47.492,17.603,1.9e-05,18-01-2017 09:38
42.536,13.283,7.2,2.3,56.4165,56.9504,-53.518,17.85,1.1e-05,18-01-2017 09:44
42.566,13.306,12.3,2.3,54.1008,55.6128,-50.336,19.828,1.2e-05,18-01-2017 09:45
42.558,13.285,12.8,2.2,54.2616,55.8869,-51.167,18.062,9e-06,18-01-2017 09:46
42.583,13.263,11.9,2.3,51.0318,52.5356,-48.354,16.313,1.4e-05,18-01-2017 09:47
42.987,13.027,9.5,2.0,3.6611,10.7243,-3.053,-2.021,0.000398,18-01-2017 09:50
42.587,13.299,12.1,2.3,51.661,53.1944,-47.936,19.261,1.4e-05,18-01-2017 09:51
42.91,13.133,8.2,3.2,13.4818,16.0887,-11.836,6.456,0.001899,18-01-2017 09:52
42.985,13.035,9.4,2.2,3.57,10.5993,-3.302,-1.357,0.000608,18-01-2017 09:54
42.567,13.283,13.8,2.3,53.2108,55.1196,-50.109,17.903,1.2e-05,18-01-2017 09:55
42.603,13.27,14.9,2.5,49.1477,51.5279,-46.145,16.917,2.5e-05,18-01-2017 09:56
42.557,13.311,11.0,2.3,55.0875,56.2915,-51.265,20.163,1.2e-05,18-01-2017 09:58
42.565,13.322,9.1,1.9,54.6779,55.5282,-50.45,21.083,4e-06,18-01-2017 09:58
42.584,13.277,13.5,2.1,51.3143,53.2109,-48.266,17.423,8e-06,18-01-2017 10:02
42.551,13.274,12.7,2.2,54.5991,56.191,-51.837,17.145,9e-06,18-01-2017 10:04
42.605,13.264,11.1,2.7,48.7069,50.0878,-45.846,16.447,4.3e-05,18-01-2017 10:05
42.583,13.313,12.0,2.9,52.5674,54.0518,-48.437,20.425,5.6e-05,18-01-2017 10:07
42.538,13.26,10.8,2.5,55.6837,56.8347,-53.346,15.964,1.9e-05,18-01-2017 10:09
42.587,13.309,9.2,2.4,51.9608,52.8731,-47.93,20.065,1.8e-05,18-01-2017 10:09
42.579,13.251,11.0,2.7,51.0508,52.3477,-48.711,15.28,3.8e-05,18-01-2017 10:11
42.578,13.27,11.3,2.5,51.6679,53.0161,-48.853,16.82,2.3e-05,18-01-2017 10:13
42.531,13.284,9.6,5.5,57.0087,57.9105,-54.13,17.887,0.006639,18-01-2017 10:14
42.528,13.285,8.8,4.7,57.3926,58.1541,-54.499,17.995,0.001806,18-01-2017 10:15
42.538,13.268,8.2,4.6,55.8966,56.5819,-53.381,16.58,0.001602,18-01-2017 10:16
42.534,13.277,10.6,3.2,56.5391,57.6338,-53.808,17.36,9.3e-05,18-01-2017 10:19
42.58,13.289,7.6,3.1,52.0908,52.7291,-48.73,18.407,9.4e-05,18-01-2017 10:21
42.517,13.299,11.9,3.2,58.882,60.19,-55.688,19.13,8.3e-05,18-01-2017 10:22
42.581,13.311,8.7,4.0,52.684,53.4951,-48.645,20.232,0.000594,18-01-2017 10:24
42.503,13.277,9.4,5.4,59.7439,60.5717,-57.194,17.266,0.005283,18-01-2017 10:25
42.503,13.288,10.2,3.6,60.0524,61.0123,-57.246,18.145,0.000193,18-01-2017 10:29
42.535,13.249,9.3,3.8,55.6817,56.5514,-53.605,15.063,0.000351,18-01-2017 10:30
42.527,13.291,11.8,3.1,57.5891,58.9047,-54.552,18.454,7e-05,18-01-2017 10:33
42.572,13.26,10.0,3.2,52.1093,53.1725,-49.592,16.0,0.000115,18-01-2017 10:34
42.507,13.265,11.7,3.7,59.0616,60.3247,-56.764,16.313,0.000244,18-01-2017 10:37
42.533,13.271,10.3,4.1,56.4355,57.4747,-53.864,16.841,0.000613,18-01-2017 10:39
42.482,13.277,10.1,3.8,62.0247,62.9375,-59.582,17.234,0.000272,18-01-2017 10:41
42.501,13.293,9.7,3.0,60.4117,61.2801,-57.477,18.601,5e-05,18-01-2017 10:43
42.521,13.274,13.5,2.9,57.8357,59.5249,-55.258,17.076,4.3e-05,18-01-2017 10:46
42.488,13.275,9.3,3.5,61.3061,62.0971,-58.89,17.043,0.000149,18-01-2017 10:51
42.499,13.279,8.9,3.0,60.2011,60.943,-57.62,17.439,5.1e-05,18-01-2017 10:53
42.482,13.297,12.5,3.4,62.5331,63.8864,-59.615,18.878,0.000111,18-01-2017 10:57
42.507,13.342,9.4,3.5,61.2094,62.0177,-56.868,22.64,0.000149,18-01-2017 11:00
42.529,13.27,11.7,3.4,56.8889,58.1992,-54.362,16.765,0.000141,18-01-2017 11:04
42.523,13.274,13.6,2.9,57.5617,59.2825,-54.969,17.081,4.3e-05,18-01-2017 11:07
42.62,13.256,10.7,4.1,46.964,48.2996,-44.233,15.782,0.000905,18-01-2017 11:07
42.581,13.25,10.8,2.6,50.8483,52.1062,-48.52,15.21,3.1e-05,18-01-2017 11:11
42.593,13.25,11.0,3.2,49.5687,50.9034,-47.155,15.279,0.000129,18-01-2017 11:12
42.502,13.311,11.3,2.8,60.7588,61.9094,-57.361,20.033,3e-05,18-01-2017 11:13
42.501,13.288,11.0,2.5,60.2339,61.3369,-57.435,18.149,1.5e-05,18-01-2017 11:16
42.564,13.256,11.1,2.5,52.7845,54.0613,-50.397,15.696,2.2e-05,18-01-2017 11:19
