animal.id,sex,DT,difft,stepl,vel
3,f,8/28/2017 14:01,4,158.4652293,39.61630733
3,f,8/28/2017 18:01,4,90.14212024,22.53553006
3,f,8/28/2017 22:01,4,275.8399955,68.95999889
3,f,8/29/2017 1:01,3,11.85577602,3.951925341
3,f,8/29/2017 5:01,4,5.539535751,1.384883938
3,f,8/29/2017 9:01,4,216.077955,54.01948874
3,f,8/29/2017 13:02,4.016666667,176.526731,43.94856373
3,f,8/29/2017 17:01,3.983333333,207.4747657,52.08571523
3,f,8/29/2017 21:01,4,50.97352993,12.74338248
3,f,8/30/2017 0:01,3,43.08881054,14.36293685
3,f,8/30/2017 4:01,4,87.46027149,21.86506787
3,f,8/30/2017 8:01,4,64.38290666,16.09572666
3,f,8/30/2017 12:01,4,391.6594237,97.91485593
3,f,8/30/2017 16:01,4,667.1141858,166.7785465
3,f,8/30/2017 20:01,4,354.8962161,88.72405402
3,f,8/30/2017 23:01,3,124.2194948,41.40649828
3,f,8/31/2017 3:01,4,656.1158993,164.0289748
3,f,8/31/2017 7:01,4,11.25802492,2.814506229
3,f,8/31/2017 11:01,4,273.6806509,68.42016273
3,f,8/31/2017 15:01,4,146.6656879,36.66642196
3,f,8/31/2017 19:01,4,61.62156077,15.40539019
3,f,8/31/2017 23:01,4,152.1574815,38.03937037
3,f,9/1/2017 2:01,3,98.40870364,32.80290121
3,f,9/1/2017 6:01,4,62.84474089,15.71118522
3,f,9/1/2017 10:01,4,143.1572929,35.78932324
3,f,9/1/2017 14:01,4,488.8993957,122.2248489
3,f,9/1/2017 18:02,4.016666667,545.7421996,135.8694273
3,f,9/1/2017 22:01,3.983333333,302.4412069,75.92666281
3,f,9/2/2017 1:01,3,98.11402028,32.70467343
3,f,9/2/2017 5:01,4,103.8401311,25.96003279
3,f,9/2/2017 9:01,4,463.9645958,115.9911489
3,f,9/2/2017 13:01,4,178.8389136,44.7097284
3,f,9/2/2017 17:01,4,424.6620383,106.1655096
3,f,9/2/2017 21:01,4,313.5368012,78.3842003
3,f,9/3/2017 0:01,3,176.2961946,58.76539821
3,f,9/3/2017 4:01,4,207.7483761,51.93709404
3,f,9/3/2017 8:01,4,1.107907414,0.276976853
3,f,9/3/2017 12:01,4,10.44565259,2.611413147
3,f,9/3/2017 16:01,4,11.6361214,2.90903035
3,f,9/3/2017 20:01,4,60.87135202,15.21783801
3,f,9/3/2017 23:01,3,639.1466604,213.0488868
3,f,9/4/2017 3:01,4,560.8968103,140.2242026
3,f,9/4/2017 7:01,4,285.9619602,71.49049005
3,f,9/4/2017 11:01,4,210.8918183,52.72295457
3,f,9/4/2017 15:01,4,75.90543656,18.97635914
3,f,9/4/2017 19:01,4,498.5411823,124.6352956
3,f,9/4/2017 23:01,4,529.8526591,132.4631648
3,f,9/5/2017 2:02,3.016666667,525.7911899,174.2954221
3,f,9/5/2017 6:01,3.983333333,161.1568578,40.45778856
3,f,9/5/2017 10:01,4,20.02346251,5.005865627
3,f,9/5/2017 14:02,4.016666667,239.5983528,59.6510422
3,f,9/5/2017 18:01,3.983333333,155.9577284,39.1525678
3,f,9/5/2017 22:01,4,103.4482928,25.8620732
3,f,9/6/2017 1:01,3,49.08002923,16.36000974
3,f,9/6/2017 5:01,4,124.9977815,31.24944536
3,f,9/6/2017 9:01,4,194.1867434,48.54668585
3,f,9/6/2017 13:01,4,243.7187133,60.92967832
3,f,9/6/2017 17:01,4,52.47851369,13.11962842
3,f,9/6/2017 21:01,4,122.9311194,30.73277984
3,f,9/7/2017 0:01,3,102.3210069,34.10700229
3,f,9/7/2017 4:01,4,368.9460194,92.23650485
3,f,9/7/2017 8:01,4,136.3642358,34.09105895
3,f,9/7/2017 12:02,4.016666667,642.1604442,159.8739695
